timestamp,mean,stddev
2025-03-01 20:00:00,0.0,0.014862074363174253
2025-03-01 20:30:00,0.02,0.014588656437012153
2025-03-01 21:00:00,0.04,0.014924071859350553
2025-03-01 21:30:00,0.06,0.01590968568620992
2025-03-01 22:00:00,0.08,0.026880796341301917
2025-03-01 22:30:00,0.07,0.02671073257163711
2025-03-01 23:00:00,0.06,0.025971070291242267
2025-03-01 23:30:00,0.05,0.024149563132112477
2025-03-02 00:00:00,0.04,0.016616826792413033
2025-03-02 00:30:00,0.03,0.012655945658979879
2025-03-02 01:00:00,0.02,0.016267316066606584
2025-03-02 01:30:00,0.01,0.01710667564918333
2025-03-02 02:00:00,0.0,0.018878866897164158
2025-03-02 02:30:00,0.0,0.016516402230023634
2025-03-02 03:00:00,0.0,0.014718864407307663
2025-03-02 03:30:00,0.0,0.014752181459927294
2025-03-02 04:00:00,0.0,0.016486677264392065
2025-03-02 04:30:00,0.0,0.01802140031277879
2025-03-02 05:00:00,0.0,0.017350637992688827
2025-03-02 05:30:00,0.0,0.014882145503921453
